web-scraper-order,web-scraper-start-url,rank,Youtuber,subscribers,video views,video count,category,started
"1699959846-107","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","107","JGCruz3d","1,830,000","580,581,027","154","Film & Animation","2014"
"1699959846-108","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","108","Mofu","2,510,000","577,409,761","551","People & Blogs","2020"
"1699959846-109","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","109","Padre Carlos Yepes","1,540,000","569,893,286","12,196","Education","2016"
"1699959846-110","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","110","Testigo Directo","1,880,000","567,296,630","3,293","Entertainment","2010"
"1699959846-111","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","111","Lil Silvio & El Vega","804,000","558,332,372","162","Music","2013"
"1699959846-112","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","112","Tops Y Misterios","3,090,000","544,124,015","1,200","Entertainment","2010"
"1699959846-113","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","113","NoticiasUnoColombia","1,240,000","536,532,169","28,046","News & Politics","2010"
"1699959846-114","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","114","GOL DE HOY","1,580,000","533,970,095","2,824","Sports","2014"
"1699959846-115","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","115","Alcala Creativo","1,300,000","532,324,848","417","Entertainment","2018"
"1699959846-116","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","116","Trolencio911","3,120,000","516,394,974","663","Gaming","2012"
"1699959846-117","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","117","Yo creo en Dios","2,930,000","512,117,838","717","People & Blogs","2014"
"1699959846-118","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","118","La Kalle","880,000","505,591,915","11,831","Entertainment","2016"
